Station_Name,Latitude,Longitude,Elevation,Station_Type,Station_ID
Stage IV Nexrad (4-m spacing),34.295567502959,-78.2058686363119,,StageIV,Stg_IV_34.29_-78.20
Stage IV Nexrad (4-m spacing),34.3758450293932,-78.2054796065824,,StageIV,Stg_IV_34.37_-78.20
Stage IV Nexrad (4-m spacing),34.4561819304314,-78.2050892532922,,StageIV,Stg_IV_34.45_-78.20
Stage IV Nexrad (4-m spacing),34.5365781928996,-78.2046975696752,,StageIV,Stg_IV_34.53_-78.20
Stage IV Nexrad (4-m spacing),34.3276044318467,-78.1862728956575,,StageIV,Stg_IV_34.32_-78.18
Stage IV Nexrad (4-m spacing),34.407905546292,-78.1858503016868,,StageIV,Stg_IV_34.40_-78.18
Stage IV Nexrad (4-m spacing),34.4882660295568,-78.185426268988,,StageIV,Stg_IV_34.48_-78.18
Stage IV Nexrad (4-m spacing),34.3596452789035,-78.1666505996712,,StageIV,Stg_IV_34.35_-78.16
Stage IV Nexrad (4-m spacing),34.4399699655307,-78.1661943508387,,StageIV,Stg_IV_34.43_-78.16
Stage IV Nexrad (4-m spacing),34.3916900271199,-78.1470016989486,,StageIV,Stg_IV_34.39_-78.14
CAPE FEAR RIVER AT LOCK 1 / CAPE FEAR RVR AT LOCK 1,34.4042,-78.2939,,CPC,CPFN7
"ELIZABETHTOWN 3 SW  / RIVER STAFF GAGE LOCATED AT ELIZABETHTOWN LOCK AND DAM 2 APPROXIMATELY 4.25 MILES EAST-NORTHEAST  (34.37.36N, 78.34.42W).",34.6044,-78.648,,CPC,ELZN7
EAST ARCADIA 2 NE /,34.3991,-78.3158,,CPC,EARN7
ELIZABETHTOWN / NC FORESTRY MET STATION/ TURNBULL CREEK,34.6831,-78.5817,,CPC,TURN7
NLDAS Lat=34.4375 Long=-78.3125,34.4375,-78.3125,10.0626,NLDAS,X373Y075
Daymet data for location @ NLDAS Lat=34.3125 Long=-78.3125,34.3125,-78.3125,16.2312,Daymet,X373Y074_Daymet
NLDAS Lat=34.3125 Long=-78.3125,34.3125,-78.3125,16.2312,NLDAS,X373Y074
Daymet data for location @ NLDAS Lat=34.4375 Long=-78.4375,34.4375,-78.4375,23.5116,Daymet,X372Y075_Daymet
NLDAS Lat=34.6875 Long=-78.4375,34.6875,-78.4375,22.8536,NLDAS,X372Y077
